8693827284.20563364060302800000	2024-05-07 14:10:31
8688934586.48267332442640060000	2024-05-07 15:10:40
8447627559.46171091253823670000	2024-05-07 16:10:31
8278474097.85593418073969370000	2024-05-07 17:10:32
8259234452.75792669308145690000	2024-05-07 18:10:36
7827779178.84312185980733810000	2024-05-07 19:10:31
7454244351.85444340962676060000	2024-05-07 20:10:47
7264522641.61049213153927080000	2024-05-07 21:10:27
7014019148.55177440305593960000	2024-05-07 22:10:02
6887777037.09994856941241040000	2024-05-07 23:10:42
6733830703.19457633222470270000	2024-05-08 00:10:31
6406288680.46003565779107900000	2024-05-08 01:10:32
6169316377.08482252545755840000	2024-05-08 02:10:23
6032344073.70960939312403780000	2024-05-08 03:10:31
6183146451.21457036875914030000	2024-05-08 04:10:34
6231620414.71621697584132510000	2024-05-08 05:10:33
6315216911.95127836959801730000	2024-05-08 06:10:37
6345675015.11655745090798520000	2024-05-08 07:10:32
6378915321.15487419847107790000	2024-05-08 08:10:31
6368168868.80560017315822140000	2024-05-08 09:10:30
6380771837.87367037034419300000	2024-05-08 10:10:30
6376096833.92875320637616850000	2024-05-08 11:10:46
6467304915.72644894077376150000	2024-05-08 12:10:37
6182971833.54144238115133430000	2024-05-08 13:10:32
6144270929.68047094923296730000	2024-05-08 14:10:45
