Timestamp,Price (USD),Change Percent 24hr
2024-05-07 14:10:31,63596.5836695654857473,-0.8562683746784324
2024-05-07 15:10:40,63645.8076598487195422,-1.0239784412987954
2024-05-07 16:10:31,63719.3453806281991968,-1.2665019154878437
2024-05-07 17:10:32,64304.5662014858687527,-1.4644153795153594
2024-05-07 18:10:36,64111.7934132397160769,-1.6633704923794033
2024-05-07 19:10:31,64081.0114793606009823,-0.4414785337476093
2024-05-07 20:10:47,63618.3807440687317430,-1.0378110382949892
2024-05-07 21:10:27,62696.7356219805289589,-0.0542917897258138
2024-05-07 22:10:02,63813.6033055077626171,0.4742387232895701
2024-05-07 23:10:42,64090.3091776195368386,1.5922063335058879
2024-05-08 00:10:31,63849.8285837698652880,0.3519992782308987
2024-05-08 01:10:32,63513.6706158958329315,0.0296005811456642
2024-05-08 02:10:23,63327.1433817265081129,0.1593236501314039
2024-05-08 03:10:31,63201.7465214347013421,0.4647315680124978
2024-05-08 04:10:34,63152.5439702149781142,0.5364902456671350
2024-05-08 05:10:33,63003.9234572016578421,0.4356410467893104
2024-05-08 06:10:37,62949.4537801459568712,0.4164501396456785
2024-05-08 07:10:32,62479.3149109751743598,0.4464781203187680
2024-05-08 08:10:31,62469.5823447823647218,0.4829790124535145
2024-05-08 09:10:30,62661.5914899780375278,-1.4689341315672072
2024-05-08 10:10:30,62714.0544759669419982,-1.7836783389784008
2024-05-08 11:10:46,62805.7884297876405410,-1.3990212663066498
2024-05-08 12:10:37,62952.0727875707618130,-0.5436905417007044
2024-05-08 13:10:32,62494.0728039474299864,-1.5232345645987870
2024-05-08 14:10:45,62652.5446796602234227,-1.4671305752620116
