1252534460985.75756353113051080000	2024-05-07 14:10:31
1253503927277.48989198875083120000	2024-05-07 15:10:40
1254952252394.09086066817921280000	2024-05-07 16:10:31
1266481646566.57425937786413500000	2024-05-07 17:10:32
1262684976863.42687012034934500000	2024-05-07 18:10:36
1262081929187.15497240649673000000	2024-05-07 19:10:31
1252970370592.50807855155930000000	2024-05-07 20:10:47
1252662238348.46871589843139000000	2024-05-07 21:10:27
1256818680583.28112743146491630000	2024-05-07 22:10:02
1262268445070.52095382536330580000	2024-05-07 23:10:42
1257532142981.12081363654906400000	2024-05-08 00:10:31
1250914191459.50914516914707400000	2024-05-08 01:10:32
1247240501023.20639567915562840000	2024-05-08 02:10:23
1243566810586.90364618916418280000	2024-05-08 03:10:31
1243585314962.43364548916126350000	2024-05-08 04:10:34
1239893120151.60089669917273720000	2024-05-08 05:10:33
1236200925343.76814790918421090000	2024-05-08 06:10:37
1232508730535.93539911919568460000	2024-05-08 07:10:32
1230623561325.64279524573012780000	2024-05-08 08:10:31
1234138404241.42401267501664540000	2024-05-08 09:10:30
1235171678122.13038096855447260000	2024-05-08 10:10:30
1236980415005.90726143817082500000	2024-05-08 11:10:46
1239861532974.86211440462422500000	2024-05-08 12:10:37
1230843011763.66283886722315840000	2024-05-08 13:10:32
1233964171771.81405934961498120000	2024-05-08 14:10:45
