21000000.00000000000000000000	1252534460985.75756353113051080000
21000000.00000000000000000000	1253503927277.48989198875083120000
21000000.00000000000000000000	1254952252394.09086066817921280000
21000000.00000000000000000000	1266481646566.57425937786413500000
21000000.00000000000000000000	1262684976863.42687012034934500000
21000000.00000000000000000000	1262081929187.15497240649673000000
21000000.00000000000000000000	1252970370592.50807855155930000000
21000000.00000000000000000000	1252662238348.46871589843139000000
21000000.00000000000000000000	1256818680583.28112743146491630000
21000000.00000000000000000000	1262268445070.52095382536330580000
21000000.00000000000000000000	1257532142981.12081363654906400000
21000000.00000000000000000000	1250914191459.50914516914707400000
21000000.00000000000000000000	1247240501023.20639567915562840000
21000000.00000000000000000000	1243566810586.90364618916418280000
21000000.00000000000000000000	1243585314962.43364548916126350000
21000000.00000000000000000000	1239893120151.60089669917273720000
21000000.00000000000000000000	1236200925343.76814790918421090000
21000000.00000000000000000000	1232508730535.93539911919568460000
21000000.00000000000000000000	1230623561325.64279524573012780000
21000000.00000000000000000000	1234138404241.42401267501664540000
21000000.00000000000000000000	1235171678122.13038096855447260000
21000000.00000000000000000000	1236980415005.90726143817082500000
21000000.00000000000000000000	1239861532974.86211440462422500000
21000000.00000000000000000000	1230843011763.66283886722315840000
21000000.00000000000000000000	1233964171771.81405934961498120000
